DATE,UNRATE
1/1/2018,4
2/1/2018,4.1
3/1/2018,4
4/1/2018,4
5/1/2018,3.8
6/1/2018,4
7/1/2018,3.8
8/1/2018,3.8
9/1/2018,3.7
10/1/2018,3.8
11/1/2018,3.8
12/1/2018,3.9
1/1/2019,4
2/1/2019,3.8
3/1/2019,3.8
4/1/2019,3.7
5/1/2019,3.7
6/1/2019,3.6
7/1/2019,3.6
8/1/2019,3.7
9/1/2019,3.5
10/1/2019,3.6
11/1/2019,3.6
12/1/2019,3.6
1/1/2020,3.5
2/1/2020,3.5
3/1/2020,4.4
4/1/2020,14.8
5/1/2020,13.3
6/1/2020,11.1
7/1/2020,10.2
8/1/2020,8.4
9/1/2020,7.8
10/1/2020,6.9
11/1/2020,6.7
12/1/2020,6.7
1/1/2021,6.3
2/1/2021,6.2
